,Sentence,Language_code
0,القمر هو القمر الطبيعي الوَحيد للأرضبالإضافة إلى أنه خامس أكبر قمرٍ طبيعيٍ في المجموعة الشمسية.,ar
1,فهو يُعَدُ أكبر قمرٍ طبيعيٍ في المجموعة الشمسية من ناحية نسبة حجمه إلى كوكبه التابع له، حيث أن قطره يصل إلى ربع قطر الأرض، كما أن كتلته تصل إلى 1 على 81 من كتلة الأرض، هذا بالإضافة إلى أنه يُعَدُ ثاني أعلى قمرٍ من ناحية الكثافة بعد قمر إيو.,ar
2,هذا ويتسم القمر الأرضي حركته التزامنية مع كوكبه (الأرض)، عارضاً دائماً الوجه نفسه؛ حيث يتميز الجانب القريب بمنطقةٍ بركانيةٍ منخفضةٍ مظلمةٍ، والتي تقع فيما بين مرتفعات القشرة الأرضية القديمة البراقة والفوهات الصدمية الشاهقة.,ar
3,كما يُلاحظ أن القمر الأرضي هو أكثر جسمٍ لامعٍ في السماء ليلاً، وعموماً هو الجسم الأكثر لمعاناً بعد الشمس، وهذا على الرغم من أن سطحه معتم جداً، حيث أن له انعكاساً مماثلاً للفحم.,ar
4,كان بروز القمر في السماء المظلمة ليلاً، ودورته المنتظمة الأطوار (المراحل) قد جعل له على مر العصور القديمة تأثيراً ثقافياً هاماً على كلٍ من اللغة، التقويم القمري، الفنون ، والأساطير القديمة، المتمثلة في آلهة القمر والتي منها عبر الحضارات: خونسو في الديانة المصرية القديمة، تشانغ في الحضارة الصينية وكذلك ماما قيلا في حضارة الإنكا.,ar
5,ومن السمات الكامنة للقمر كذلك، تأثير جاذبيته التي تسفر عن وقوع عمليتي مد وجزر المحيطات وإطالة الدقيقة (نتيجة تسارع المد والجزر) لليوم.,ar
6,مع ملاحظة أن المسافة المدارية الحالية للقمر، والتي تُقَدَرُ بثلاثين مرةٍ قدر قطر الكرة الأرضية، تتسبب في أن يبدو القمر أغلب الوقت بنفس حجمه دون تغيير في السماء كما هو الحال مع الشمس، مما يسمح له (القمر) بأن يغطي الشمس بصورةٍ شبه تامةٍ في ظاهرة الكسوف الكلي للشمس.,ar
7,ويُعَدُ القمر الجرم السماوي الوحيد الذي هبط عليه البشر بأقدامهم.,ar
8,حيث أنه على الرغم من أن برنامج لونا التابع للاتحاد السوفيتي كان الأول من نوعه لينجح في الوصول إلى سطح القمر بواسطة مركبةٍ فضائيةٍ غير مأهولة برواد الفضاء في عام 1959، إلا أن برنامج أبولو التابع لوكالة ناسا الأمريكية استطاع تحقيق إنجاز السفر بالبعثات البشرية الوحيدة، والتي بدأت بأول بعثةٍ بشريةٍ مداريةٍ حول القمر هي بعثة أبولو 8 في عام 1968، والتي تبعها ستة رحلاتٍ بشريةٍ إلى القمر فيما بين عاميّ 1969 و1972 – والتي كانت الأولى منها هي رحلة أبولو 11 في عام 1969.,ar
9,هذا وقد جلبت تلك الرحلات في طريق عودتها نحو 380 كيلوغراماً من الصخور القمرية، والتي استُخْدِمَت بعد ذلك في تطوير التفهم الجيولوجي المفصل لأصول نشأة القمر (والذي ساد المعتقد أن أصول نشأته وتكوينه ترجع إلى 4.5 مليارات سنة وذلك في إطار فرضية الاصطدام العملاق والتي شملت في إطارها تكون كوكب الأرض)، وكذلك في فهم تكوين البنية الداخلية للقمر، وكذلك جيولوجيا القمر.,ar
10,إلا أن بعد نجاح مهمة رحلة أبولو 17 في عام 1972، لم تزر القمر سوى مركباتٍ فضائيةٍ غير مأهولةٍ برواد الفضاء، والتي كانت في الأغلب عرباتٍ فضائيةٍ أمريكية تابعة لناسا وسوفيتية تابعةٍ لبرنامج لونوخود.,ar
11,هذا ومنذ عام 2004، أرسلت كلٌ من الولايات المتحدة الأمريكية، اليابان، الصين، الهند، ووكالة الفضاء الأوروبية سفناً فضائيةً لمدار القمر.,ar
12,حيث ساهمت تلك السفن الفضائية جميعها في تأكيد اكتشاف وجود ثلوجٍ مائيةٍ قمريةٍ في الحفر دائمة الظل في مناطق الحدود والأعمدة داخل القشرة السطحية لصخور القمر.,ar
13,هذا وتم التخطيط لبعثاتٍ بشريةٍ مستقبليةٍ إلى القمر، إلا أنه لم يوضع أيٍ منها قيد التنفيذ بعد، حيث أن القمر يظل، وفقاً لبنود معاهدة الفضاء الخارجي، متاحاً بصورةٍ مجانيةٍ لجميع الأمم لاستكشافه للأغراض السلمية.,ar
