,Sentence,Language_code
0,La Luna es el único satélite natural de la Tierra.,es
1,"Con un diámetro ecuatorial de 3476 km, es el quinto satélite más grande del sistema solar, mientras que en cuanto al tamaño proporcional respecto a su planeta es el satélite más grande: un cuarto del diámetro de la Tierra y 1/81 de su masa.",es
2,"Es, además, después de Ío, el segundo satélite más denso.",es
3,"Se encuentra en relación síncrona con la Tierra, siempre mostrando la misma cara hacia el planeta.",es
4,El hemisferio visible está marcado con oscuros mares lunares de origen volcánico entre las brillantes montañas antiguas y los destacados astroblemas.,es
5,"A pesar de ser, en apariencia, el objeto más brillante en el cielo después del Sol, su superficie es en realidad muy oscura, con una reflexión similar a la del carbón.",es
6,"Su prominencia en el cielo y su ciclo regular de fases han hecho de la Luna un objeto con importante influencia cultural desde la antigüedad tanto en el lenguaje, como en el calendario, el arte o la mitología.",es
7,La influencia gravitatoria de la Luna produce las mareas y el aumento de la duración del día.,es
8,"La distancia orbital de la Luna, cerca de treinta veces el diámetro de la Tierra, hace que se vea en el cielo con el mismo tamaño que el Sol y permite que la Luna cubra exactamente al Sol en los eclipses solares totales.",es
9,La Luna es el único cuerpo celeste en el que el ser humano ha realizado un descenso tripulado.,es
10,"Aunque el programa Luna de la Unión Soviética fue el primero en alcanzar la Luna con una nave espacial no tripulada, el programa Apolo de Estados Unidos realizó las únicas misiones tripuladas al satélite terrestre hasta la fecha, comenzando con la primera órbita lunar tripulada por el Apolo 8 en 1968, y seis alunizajes tripulados entre 1969 y 1972, siendo el primero el Apolo 11 en 1969, y el último el Apolo 17.",es
11,"Estas misiones regresaron con más de 380 kg de roca lunar, que han permitido alcanzar una detallada comprensión geológica de los orígenes de la Luna (se cree que se formó hace 4 500 000 000 (cuatro mil quinientos millones) de años después de un gran impacto), la formación de su estructura interna y su posterior historia.",es
12,"En 1970, la Unión Soviética puso en la superficie el primer vehículo robótico controlado desde la tierra: Lunojod 1.",es
13,El rover fue enviando fotografías y vídeos de la superficie que recorrió (10 km) durante casi un año.,es
14,"[1]​ Desde la misión del Apolo 17 en 1972, ha sido visitada únicamente por sondas espaciales no tripuladas, en particular por el astromóvil soviético Lunojod 2.",es
15,"Desde 2004, Japón, China, India, Estados Unidos, y la Agencia Espacial Europea han enviado orbitadores.",es
16,Estas naves espaciales han confirmado el descubrimiento de agua helada fijada al regolito lunar en cráteres que se encuentran en la zona de sombra permanente y están ubicados en los polos.,es
17,"Se han planeado futuras misiones tripuladas a la Luna, pero no se han puesto en marcha aún.",es
