,Sentence,Language_code
0,Bulan (ᮘᮥᮜᮔ᮪) atawa Komar (ᮊᮧᮙᮁ) nyaéta satelit alam nu ngurilingan bumi.,su
1,"Dina basa Inggris ngaranna the Moon, dina basa Latén kadang-kadang disebut Luna, atawa Selene (basa Yunani), keur ngabédakeun tina bulan (moon) (nu nujul kana sagala rupa satelit alam planét-planét séjén).",su
2,"Kecap sipat nu patali jeung bulan, dina basa Inggris mah nyaéta lunar (tina basa Laten kénéh), tapi henteu kitu kombinasina mah, wangun kombinasina seleno-/-selene (tina basa Yunani) katut -cynthion (tina Lunar deity Cynthia) dipaké minangka istilah nu patali jeung bulan dina rupa-rupa konteks liana (upamana aposelene, selenosentris, pericynthion, jsb.).",su
3,"Jarak rata-rata antara Bumi jeung bulan, ti puseur ka puseur, nyaéta 384.403 km, kira-kira 30 kali diaméter Bumi.",su
4,"Diaméter Bulan nyaéta 3.474 km, saeutik leuwih leutik ti saparapatna diaméter Bumi.",su
5,Ieu hartina volume Bulan ngan kira-kira 2 persén ti volume Bumi sarta tarikan gravitasi di beungeutna kira-kira 17 persén ti tarikan gravitasi Bumi.,su
6,"Bulan medar ngalingkung Bumi sakali saban 27,3 poé (période orbit), sarta variasi periodik dina sistem Bumi-bulan-Panonpoé tanggung jawab kana kajadian fase-fase Bulan anu mindo saban 29,5 poé (période sinodik).",su
7,"Massa jinis Bulan (3,4 g/cm³) nyaéta leuwih hampang dibandingkeun massa jinis Bumi (5,5 g/cm³), sedengkeun massa Bulan ngan 0,012 kali massa Bumi.",su
8,Bulan anu ditarik ku gaya gravitasi Bumi henteu murag ka Bumi dilantarankeun ku gaya séntrifugal anu timbul tina pedaran atawa orbit Bulan ngalingkung bumi.,su
9,Badagna gaya séntrifugal Bulan nyaéta saeutik leuwih badag ti gaya tarik antara gravitasi Bumi jeung Bulan.,su
10,"Hal ieu ngabalukarkeun Bulan beuki ngajauhan bumi kalawan laju kira-kira 3,8 cm/taun.",su
11,"Bulan aya dina orbit sinkron jeung Bumi, hal ieu ngabalukarkeun ngan hiji sisi beungeut Bulan waé anu bisa ditempo ti Bumi.",su
12,Orbit sinkron ngabalukarkeun waktu rotasi sarua jeung waktu révolusina.,su
13,Di bulan heneuweuh hawa atawa cai.,su
14,Réa kawah di beungeut bulan nu dilantarankeun ku tubrukan komét atawa asteroid.,su
15,Euweuhna hawa jeung cai di bulan ngabalukarkeun heneuweuhna pengikisan anu ngabalukarkeun réa kawah di bulan anu umurna jutaan taun sarta gembleng kénéh.,su
16,"Ti antara kawah pangbadagna nyaéta Clavius kalawan diaméter 230 kilométer sarta jerona 3,6 kilométer.",su
17,Euweuhna hawa ogé ngabalukarkeun euweuhna sora nu bisa kadéngé di Bulan.,su
18,Bulan nyaéta hiji-hijina barang langit anu kungsi kadatangan sarta didaratan ku manusa.,su
19,"Obyék munggaran jieunan manusa anu ngaliwat deukeut Bulan nyaéta wahana antariksa milik Uni Sovyet, Luna 1, obyék munggaran jieunan manusa anu ngabentur beungeut Bulan nyaéta Luna 2, sarta poto munggaran sisi jauh bulan anu teu kungsi katémbong ti Bumi, dicokot ku Luna 3, kabéh misi ieu dipigawé dina taun 1959.",su
20,"Wahana antariksa munggaran anu junun ngalakonan badarat nyaéta Luna 9, sarta anu junun ngorbit Bulan nyaéta Luna 10, duanana dipigawé dina taun 1966.",su
21,"Program Apollo milik Amérika Sarikat nyaéta hiji-hijina misi nu dijelemaan nepi ka kiwari, anu dilakonan antara 1969 jeung 1972.",su
22,Bulan minangka tanda waktuBulan purnama nyaéta kaayaan sabot Bulan katémbong buleud sampurna ti Bumi.,su
23,"Dina waktu éta, Bumi perenahna ampir sagurat di antara Panonpoé jeung Bulan, ku kituna sakumna beungeut Bulan anu dicaangan Panonpoé katémbong écés ti Bumi.",su
24,"Kabalikanana nyaéta waktu bulan paéh, nyaéta waktu Bulan perenahna ampir sagurat di antara Panonpoé jeung Bumi, ku kituna anu 'katémbong' ti Bumi nyaéta sisi tukang Bulan anu poék, atawa henteu katempo nanaon.",su
25,"Di antara dua waktu éta aya kaayaan bulan sapasi sarta bulan tumanggal, nyaéta dina waktu posisi Bulan ka Bumi nyieun sudut nu tangtu ka gurat Bumi - Panonpoé.",su
26,"Dina waktu éta, ngan sawaréh beungeut Bulan anu disinaran Panonpoé anu katémbong ti Bumi.",su
27,"Asal usulAsal - usul bulan henteu dipikanyaho sacara pasti, tapi élmuwan manggihan bukti yén Bulan asalna tina tubrukan bumi jeung planét leutik anu ngaranna theira kira-kira 3 milyar taun ka tukang, sarta ngahasilkeun lebu anu jumlahna pohara réa sarta ngorbit di saubeng bumi sarta tungtungna lebu kasebut ngumpul jadi bulan.",su
