,Sentence,Language_code
0,"Ay, Dünya'nın tek doğal uydusudur.",tr
1,Güneş Sistemi içinde beşinci büyük doğal uydudur.,tr
2,"Dünya ile Ay arasında ortalama merkezden merkeze uzaklık 384.403 km, yani Dünya'nın çapının yaklaşık otuz katı kadardır.",tr
3,"Ay'ın çapı 3.474 km'dir, bu da Dünya çapının dörtte birinden biraz fazladır.",tr
4,Dolayısıyla Ay'ın hacmi Dünya'nın hacminin %2'sidir.,tr
5,"Kütlesi Dünya kütlesinden 81,3 kat daha düşüktür.",tr
6,Yüzeyinde kütleçekim etkisi yer çekiminin yaklaşık %17'sidir.,tr
7,"Ay, Dünya'nın yörüngesinde bir turunu 27 gün 7 saatte tamamlar.",tr
8,"Dünya, Ay ve Güneş geometrisinde görülen periyodik değişimler sonucunda her 29,5 günde tekrar eden Ay'ın evreleri oluşur.",tr
9,"Ay, insanların üzerine iniş yaparak yürüdükleri gökcismidir.",tr
10,Yer çekiminden kurtulup uzaya çıkan ve Ay'ın yakınından geçen ilk yapay nesne Sovyetler Birliği'nin Luna 1 uydusudur.,tr
11,Ay yüzeyine çarpan ilk insan yapısı nesne Luna 2 uydusudur.,tr
12,Normalde görünmeyen Ay'ın öteki yüzünün ilk fotoğraflarını ise Luna 3 uydusu çekmiştir.,tr
13,Bu üç uydu da 1959 yılında uzaya fırlatılmıştır.,tr
14,Ay yüzeyine ilk yumuşak iniş yapabilen uzay aracı Luna 9 ve Ay yörüngesine giren ilk insansız uzay aracı da Luna 10'dur.,tr
15,Bu iki uydu da 1966'da uzaya fırlatılmıştır.,tr
16,"ABD'nin Apollo programı 1969 ve 1972 yılları arasında altı başarılı inişle, günümüze kadar insanlı görevleri başaran tek uzay programıdır.",tr
17,Ay'ın doğrudan insanlar tarafından incelenmesine Apollo programının bitişiyle son verilmiştir.,tr
18, Türk Dil Kurumu kelimenin Türkçe olduğunu söyler.,tr
19,Büyük harfle yazıldığını belirtir.,tr
20,"Ay, Dünya'nın yörüngesinde eş zamanlı olarak hareket eder, yani her zaman aynı yüzü Dünya'ya dönüktür.",tr
21,"Ay'ın oluşumunun başlarında dönüşü yavaşladı ve Dünya'nın kütlesi nedeniyle oluşan gelgit deformasyonlarına bağlı sürtünme etkilerinin sonucu olarak günümüzdeki konumunda kilitlendi.Çok uzun zaman önceleri Ay daha hızlı dönerken, gelgit tümseği Dünya-Ay hattının önünde dönüyordu.",tr
22,Çünkü gelgit tümsekleri yeteri kadar hızlı olarak Dünya ile aynı hatta gelemiyordu.,tr
23,Bu hattın dışına çıkan tümsek nedeniyle oluşan tork Ay'ın dönüşünü yavaşlattı.,tr
24,Ay'ın dönüşü yörünge hızına denk gelecek kadar yavaşladığında gelgit tümseği Dünya'nın tam karşısına geldi ve bu nedenle tork ortadan kayboldu.,tr
25,"İşte bu nedenden ötürü Ay, Dünya yörüngesinde döndüğü hızla kendi çevresinde de döner ve Dünya'dan her zaman Ay'ın aynı yüzü görünür.",tr
26,Ay'ın göründüğü açının küçük değişimleri (Ay sallantısı) nedeniyle Ay yüzeyinin %59'u görünür.,tr
27,"Ay'ın Dünya'ya karşı olan yüzünden Ay'ın görünen yüzü, diğer tarafına da Ay'ın öteki yüzü denir.",tr
28,Öteki yüz Ay'ın karanlık yüzü ile karıştırılmamalıdır.,tr
29,Ay'ın karanlık yüzü herhangi bir anda Güneş tarafından aydınlatılmayan yarıküresidir.,tr
30,Ayda bir kere bu yüz yeniay safhasına Ay'ın görünen yüzü olur.,tr
31,Ay'ın öteki yüzü ilk olarak 1959'da Sovyet uzay sondası Luna 3 tarafından fotoğraflandı.,tr
32,"Ay'ın öteki yüzünün ayırt edici özelliklerinden biri Ay denizi (Latince: (mare, çoğulu maria) adı verilen düzlüklerin hemen hemen hiç olmamasıdır.",tr
33, Çıplak gözle rahatlıkla görünebilen Ay yüzeyinde bulunan karanlık Ay düzlüklerine Ay denizi denir.,tr
34,Çünkü antik dönem gökbilimcileri bunların suyla dolu olduklarını zannediyordu.,tr
35,Günümüzde bunların katılaşmış bazalt olduğu bilinmektedir.,tr
36,"Bazaltı oluşturan lav, Ay yüzüne göktaşları ve kuyruklu yıldızların çarpması sonucu oluşan krater düzlüklerini doldurmuş ve katılaşarak bu bazaltı oluşturmuştur (Oceanus Procellarum krater düzlüğü değildir ve bu kurala önemli bir istisna oluşturur.)",tr
37,Ay denizleri hemen hemen yalnızca Ay'ın görünen yüzünde bulunur.,tr
38,Ay'ın öteki yüzünün yalnızca %2'sinde birkaç dağılmış küçük düzlük bulunur.,tr
39,Ayın görünen yüzündeyse bu oran %31'dir.,tr
40,"Bu farklılığın en akla yatkın açıklaması, Lunar Prospector uzay sondasının gamma ışını spektrometresi ile elde edilen jeokimyasal haritalarda gösterildiği üzere Ay'ın görünen yüzünde ısı üreten elementlerin daha yüksek konsantrasyonda bulunmasıdır.",tr
41,Kalkan tipi yanardağlar ve kubbemsidağlar görünen yüz üzerindeki Ay denizlerinde rastlanan özelliklerdir.,tr
42," Ay yüzeyinde görünen açık renkli bölgelere Ay dağları (Latince: terrae (çoğul), terra (tekil)) denir; çünkü Ay denizlerinden daha yüksektirler.",tr
43,"Ay'ın görünen yüzünde, içleri bazalt ile dolu olan kraterlerin çevresinde birçok dağ sırasına rastlanır.",tr
44,Bunların kraterlerin çevrelerinde oluşan yükseltilerin kalıntıları olduğu düşünülmektedir.,tr
45,"Dünya'da karşılaşılan oluşumun aksine, başlıca Ay dağlarının hiçbirinin tektonik etkinlikler sonucu oluşmadığına inanılmaktadır.1994 yılında gerçekleştirilen Clementine görevinden alınan görsellerde Ay'ın kuzey kutbunda bulunan 73 km genişliğindeki Peary kraterinin çevresindeki dört dağlık bölgenin tüm Ay günü boyunca günışığı aldığı görülmüştür.",tr
46,"Günışığının sürekli aydınlatığı bu bölgeler, Ay'ın tutulum düzlemine olan oldukça küçük eksenel eğikliği nedeniyle mümkündür.",tr
47,Güney kutbunda benzer bölgelere rastlanmamıştır; ancak Shackleton krateri Ay gününün %80'i boyunca gün ışığı altındadır.,tr
