,Sentence,Language_code
0,cha angani Galileo kilipiga picha hii ya Ardhi na mwezi right|thumb|200px|Picha maarufu sana ya dunia yetu iliyopigwa na mwanaanga Mmarekani Bill Anders wakati wa safari ya Apollo 8 tarehe 24 Desemba 1968.,sw
1,Safari hii ilipeleka mara ya kwanza watu hadi uga wa graviti ya Mwezi na kuuzunguka.,sw
2,Mwezi ni gimba la angani linalozunguka sayari fulani.,sw
3,Kuna miezi mingi katika anga-nje.,sw
4,Vipindi vya kuonekana kwa mwezi wa Dunia vilisababisha matumizi ya mwezi kama majira ya wakati.,sw
5,Mabadiliko ya kuonekana kwake yalisababisha katika Kiswahili neno mwezi litumike kama kipindi cha wakati.,sw
6,Awamu zake nne pengine ndizo chanzo cha majuma ya siku sabasaba.,sw
7,Miezi ya sayariSayari inaweza kukosa mwezi au kuwa na miezi mingi.,sw
8,"Mshtarii ina miezi zaidi ya 60, mingine mikubwa kama sayari ndogo, mingine midogo yenye kipenyo cha km 1 tu.",sw
9,Dunia yetu ina mwezi mmoja tu.,sw
10,Utaridi haina mwezi.,sw
11,Mwezi hauna nuru ya kwake yenyewe bali unang'aa kutokana na nuru ya jua inayoakisiwa usoni mwake kama kwenye kioo.,sw
12,Sayari zenye miezi katika mfumo wa jua:Dunia: mwezi 1Mirihi: miezi 2Mshtarii: miezi 63Zohali: miezi 31Uranus: miezi 27Neptun: miezi 13Pluto: miezi 3Sayari zisizo na miezi katika mfumo wa jua:UtaridiZuhura (Ng'andu)thumb|right|200px|Awamu za mwezi katika kipindi cha mwezi wa kalendaMwezi wa Dunia yetuMwezi wa dunia yetu ni kati ya miezi mikubwa kwenye mfumo wa Jua.,sw
13,Hakuna jina tofauti kuliko Mwezi isipokuwa watu wametumia pia jina la Kilatini Luna wakitaja Mwezi wetu ili kuutofautisha na miezi ya sayari nyingine.,sw
14,Katika Wikipedia hi tunajitahidi kuandika Mwezi kwa gimba linalozunguka Dunia na mwezi kama habari inahusu sayari nyingine.,sw
15,Mwezi wetu huwa na umbo la tufe lakini si tufe kamili.,sw
16,"Kipenyo cha wastani ni kilomita 3,476 ambacho ni takribani robo ya kipenyo cha Dunia.",sw
17,Mwezi unazunguka dunia yetu kwenye obiti chenye umbo la duaradufu.,sw
18,"Umbali wake na Dunia ni baina ya kilomita 363,300 hadi 405,500 kutoka Dunia.",sw
19,"Huwa tunaangalia uso wake upande mmoja, tena uleule tu.",sw
20,Sababu yake ni ya kwamba mzunguko wa Mwezi kwenye mhimili wake ni sawa na kipindi cha obiti ya kuzunguka Dunia mara moja.,sw
21,"Kipindi cha obiti yake ni siku 27 , masaa 7, dakika 43 na sekunde 11.5.",sw
22,Upande wa nyuma wa Mwezi uko gizani wakati sisi tunaona mwezi mpevu.,sw
23,Wakati wa mwezi mwandamo kwetu upande wa nyuma unapokea nuru ya Jua. .Nuru ya Mwezi hautoki kwake bali ni nuru ya jua inayoakisiwa na uso wake.,sw
24,Uso wa Mwezi unajaa mashimo ya kasoko yaliyosababishwa kwa kugongwa na meteoridi.,sw
25,Mwezi hauna angahewa inayozuia mapigo ya meteoridi ndogo au kupunguzu nguvu yao jinsi ilivyo duniani.,sw
26, inayoonyesha umbali baina ya Dunia na Mwezi kulingana na ukubwa wake.,sw
27,"Umbali wa wastani baina ya Mwezi na Dunia ni kilomita 384,400.",sw
28,"Kipenyo cha Mwezi ni takriban robo moja ya kipenyo cha dunia. .Mwezi kama kipimo cha wakati|framed|none|Awamu za mwezi kuanzia mwezi mwandamo (1) kupitia hilali (2), robo ya kwanza, nusu mwezi, robo ya tatu, mwezi mpevu (5) hadi mwezi mwandamo tena Uso wa mwezi jinsi unavyoonekana duniani hubadilikabadilika.",sw
29,Mwezi mpevu unaonekana kama duara kamili la kung'aa lakini baada ya kuonekana hivi umbo linapungua kila siku hadi kutoonekana kabisa na hali hii huitwa mwezi mwandamo.,sw
30,Baadaye mwezi unaonekana tena kama hilali nyembamba na kuongezeka hadi kuwa duara tena.,sw
31,Muda wa mabadiliko yote kupita mara moja ni siku 29 na robo.,sw
32,Muda wa mabadiliko kati ya mwezi mwandamo hadi kupotea na kuwa mwezi mwandamo tena ni kati ya siku 28 hadi 29.,sw
33,Kipindi hiki kinakumbukwa kirahisi kinaonekana kwa watu wote.Hivyo muda wa kurudi kwa Mwezi ulikuwa kati ya vipimo vya kwanza vya wakati kwa binadamu pamoja na kipindi cha siku.,sw
34,Inawezekana kipimo cha siku saba katika juma kilianza kwa kuzingatia robo 4 za mwezi wenye siku 28.,sw
35,Awamu za mwezi zilikuwa vipindi vya kuhesabu wakati tangu mwanzo wa kalenda.,sw
36,Hadi leo kuna kalenda ya mwezi ambayo ni kalenda ya Kiislamu.,sw
37,Inapanga wakati kutokana na hali halisi ya awamu za mwezi.,sw
38,Safari kwenda mwezinithumb|right|180px|Nyayo za mwanaanga Edwin Aldrin (Apollo 11) mwezini.,sw
39,Mwezi wetu ni gimba la angani la kwanza ambako wanadamu wamefika.,sw
40,Tarehe 21 Julai 1969 mwanaanga Mmarekani Neil Armstrong alikuwa mtu wa kwanza wa kukanyaga uso wa mwezi.,sw
41,Wanaanga wengine 11 kutoka Marekani waliendelea kufika mwezini hadi mwaka 1972.Baadaye safari za kwenda mwezini hazikufanywa tena kutokana na gharama kubwa.,sw
42,Mwezi mali ya watu?,sw
43,"Hata kama Warusi na Wamarekani walifikisha bendera zao mwezini, hawadai kuwa na mali huko.",sw
44,Katika mkataba kuhusu anga-nje nchi 192 za Dunia zimekubaliana kuwa Mwezi utaangaliwa sawa na maeneo ya kimataifa ya bahari.,sw
45,Walikubaliana kuwa ni marufuku kupeleka silaha kali kama za nyuklia angani.,sw
46,"Mataifa mengi ya Dunia yametia sahihi mkataba huo, isipokuwa nchi chache hususan za Afrika ikiwemo Tanzania.",sw
47,Lakini kuna watu binafsi wanaodai kuwa na mali kwenye Mwezi.,sw
